"","survey_id","under_represented","attend_sciexpo_this_year","attend_sciexpo_last_year","prepost","questionnaire","item_nbr","item_id","response","subscale","subscale_item_nbr","timestamp","current_grade","ap_science_enrolled","score","session_completed"
"596",210,"Non-
HURM","Yes","Yes","post","ssi",12,"i5","Neither agree nor disagree","Interest","5",2025-10-28 10:03:02.453,"12th Grade (Senior)","Yes",3,"pre & post"
"597",210,"Non-
HURM","Yes","Yes","post","ssi",13,"r4","Somewhat disagree","Recognition","4",2025-10-28 10:03:02.453,"12th Grade (Senior)","Yes",2,"pre & post"
"598",210,"Non-
HURM","Yes","Yes","post","ssi",14,"i6","Neither agree nor disagree","Interest","6",2025-10-28 10:03:02.453,"12th Grade (Senior)","Yes",3,"pre & post"
"599",210,"Non-
HURM","Yes","Yes","post","ssi",15,"c5","Neither agree nor disagree","Competence","5",2025-10-28 10:03:02.453,"12th Grade (Senior)","Yes",3,"pre & post"
"600",210,"Non-
HURM","Yes","Yes","post","ssi",16,"c6","Somewhat disagree","Competence","6",2025-10-28 10:03:02.453,"12th Grade (Senior)","Yes",2,"pre & post"
"601",212,"HURM","Yes","Yes","pre","likely_become_scientist",NA,NA,"Extremely likely","likely_become_scientist",NA,2025-10-03 10:16:58.725,"12th Grade (Senior)","Yes",5,"pre & post"
"602",212,"HURM","Yes","Yes","pre","represented_in_science",NA,NA,"Mostly represented","represented_in_science",NA,2025-10-03 10:16:58.725,"12th Grade (Senior)","Yes",4,"pre & post"
"603",212,"HURM","Yes","Yes","pre","ssi",1,"p1","Somewhat agree","Peformance","1",2025-10-03 10:16:58.725,"12th Grade (Senior)","Yes",4,"pre & post"
"604",212,"HURM","Yes","Yes","pre","ssi",2,"c1","Neither agree nor disagree","Competence","1",2025-10-03 10:16:58.725,"12th Grade (Senior)","Yes",3,"pre & post"
"605",212,"HURM","Yes","Yes","pre","ssi",3,"r1","Somewhat disagree","Recognition","1",2025-10-03 10:16:58.725,"12th Grade (Senior)","Yes",2,"pre & post"
"606",212,"HURM","Yes","Yes","pre","ssi",4,"i1","Neither agree nor disagree","Interest","1",2025-10-03 10:16:58.725,"12th Grade (Senior)","Yes",3,"pre & post"
"607",212,"HURM","Yes","Yes","pre","ssi",5,"i2","Neither agree nor disagree","Interest","2",2025-10-03 10:16:58.725,"12th Grade (Senior)","Yes",3,"pre & post"
"608",212,"HURM","Yes","Yes","pre","ssi",6,"i3","Somewhat agree","Interest","3",2025-10-03 10:16:58.725,"12th Grade (Senior)","Yes",4,"pre & post"
"609",212,"HURM","Yes","Yes","pre","ssi",7,"p3","Strongly agree","Peformance","3",2025-10-03 10:16:58.725,"12th Grade (Senior)","Yes",5,"pre & post"
"610",212,"HURM","Yes","Yes","pre","ssi",8,"r2","Somewhat disagree","Recognition","2",2025-10-03 10:16:58.725,"12th Grade (Senior)","Yes",2,"pre & post"
"611",212,"HURM","Yes","Yes","pre","ssi",9,"c3","Neither agree nor disagree","Competence","3",2025-10-03 10:16:58.725,"12th Grade (Senior)","Yes",3,"pre & post"
"612",212,"HURM","Yes","Yes","pre","ssi",10,"p4","Somewhat agree","Peformance","4",2025-10-03 10:16:58.725,"12th Grade (Senior)","Yes",4,"pre & post"
"613",212,"HURM","Yes","Yes","pre","ssi",11,"r3","Neither agree nor disagree","Recognition","3",2025-10-03 10:16:58.725,"12th Grade (Senior)","Yes",3,"pre & post"
"614",212,"HURM","Yes","Yes","pre","ssi",12,"i5","Somewhat agree","Interest","5",2025-10-03 10:16:58.725,"12th Grade (Senior)","Yes",4,"pre & post"
"615",212,"HURM","Yes","Yes","pre","ssi",13,"r4","Somewhat disagree","Recognition","4",2025-10-03 10:16:58.725,"12th Grade (Senior)","Yes",2,"pre & post"
"616",212,"HURM","Yes","Yes","pre","ssi",14,"i6","Strongly agree","Interest","6",2025-10-03 10:16:58.725,"12th Grade (Senior)","Yes",5,"pre & post"
"617",212,"HURM","Yes","Yes","pre","ssi",15,"c5","Somewhat agree","Competence","5",2025-10-03 10:16:58.725,"12th Grade (Senior)","Yes",4,"pre & post"
"618",212,"HURM","Yes","Yes","pre","ssi",16,"c6","Strongly agree","Competence","6",2025-10-03 10:16:58.725,"12th Grade (Senior)","Yes",5,"pre & post"
"619",212,"HURM","Yes","Yes","post","feelings_change_after_sciexpo",NA,NA,"It made me feel more confident i could go into a science field and be passionate about it.","feelings_change_after_sciexpo",NA,2025-10-28 10:03:32.425,"12th Grade (Senior)","Yes",NA,"pre & post"
"620",212,"HURM","Yes","Yes","post","likely_become_scientist",NA,NA,"Extremely likely","likely_become_scientist",NA,2025-10-28 10:03:32.425,"12th Grade (Senior)","Yes",5,"pre & post"
"621",212,"HURM","Yes","Yes","post","represented_in_science",NA,NA,"Mostly represented","represented_in_science",NA,2025-10-28 10:03:32.425,"12th Grade (Senior)","Yes",4,"pre & post"
"622",212,"HURM","Yes","Yes","post","sciexpo_most_valuable_aspects",NA,NA,"Seeing careers i’m interested in","sciexpo_most_valuable_aspects",NA,2025-10-28 10:03:32.425,"12th Grade (Senior)","Yes",NA,"pre & post"
"623",212,"HURM","Yes","Yes","post","sciexpo_other_comments",NA,NA,NA,"sciexpo_other_comments",NA,2025-10-28 10:03:32.425,"12th Grade (Senior)","Yes",NA,"pre & post"
"624",212,"HURM","Yes","Yes","post","sciexpo_what_to_improve",NA,NA,NA,"sciexpo_what_to_improve",NA,2025-10-28 10:03:32.425,"12th Grade (Senior)","Yes",NA,"pre & post"
"625",212,"HURM","Yes","Yes","post","ssi",1,"p1","Strongly agree","Peformance","1",2025-10-28 10:03:32.425,"12th Grade (Senior)","Yes",5,"pre & post"
"626",212,"HURM","Yes","Yes","post","ssi",2,"c1","Somewhat agree","Competence","1",2025-10-28 10:03:32.425,"12th Grade (Senior)","Yes",4,"pre & post"
"627",212,"HURM","Yes","Yes","post","ssi",3,"r1","Somewhat disagree","Recognition","1",2025-10-28 10:03:32.425,"12th Grade (Senior)","Yes",2,"pre & post"
"628",212,"HURM","Yes","Yes","post","ssi",4,"i1","Somewhat disagree","Interest","1",2025-10-28 10:03:32.425,"12th Grade (Senior)","Yes",2,"pre & post"
"629",212,"HURM","Yes","Yes","post","ssi",5,"i2","Somewhat agree","Interest","2",2025-10-28 10:03:32.425,"12th Grade (Senior)","Yes",4,"pre & post"
"630",212,"HURM","Yes","Yes","post","ssi",6,"i3","Somewhat agree","Interest","3",2025-10-28 10:03:32.425,"12th Grade (Senior)","Yes",4,"pre & post"
"631",212,"HURM","Yes","Yes","post","ssi",7,"p3","Strongly agree","Peformance","3",2025-10-28 10:03:32.425,"12th Grade (Senior)","Yes",5,"pre & post"
"632",212,"HURM","Yes","Yes","post","ssi",8,"r2","Strongly disagree","Recognition","2",2025-10-28 10:03:32.425,"12th Grade (Senior)","Yes",1,"pre & post"
"633",212,"HURM","Yes","Yes","post","ssi",9,"c3","Neither agree nor disagree","Competence","3",2025-10-28 10:03:32.425,"12th Grade (Senior)","Yes",3,"pre & post"
"634",212,"HURM","Yes","Yes","post","ssi",10,"p4","Somewhat agree","Peformance","4",2025-10-28 10:03:32.425,"12th Grade (Senior)","Yes",4,"pre & post"
"635",212,"HURM","Yes","Yes","post","ssi",11,"r3","Neither agree nor disagree","Recognition","3",2025-10-28 10:03:32.425,"12th Grade (Senior)","Yes",3,"pre & post"
"636",212,"HURM","Yes","Yes","post","ssi",12,"i5","Somewhat agree","Interest","5",2025-10-28 10:03:32.425,"12th Grade (Senior)","Yes",4,"pre & post"
"637",212,"HURM","Yes","Yes","post","ssi",13,"r4","Somewhat disagree","Recognition","4",2025-10-28 10:03:32.425,"12th Grade (Senior)","Yes",2,"pre & post"
"638",212,"HURM","Yes","Yes","post","ssi",14,"i6","Strongly agree","Interest","6",2025-10-28 10:03:32.425,"12th Grade (Senior)","Yes",5,"pre & post"
"639",212,"HURM","Yes","Yes","post","ssi",15,"c5","Strongly agree","Competence","5",2025-10-28 10:03:32.425,"12th Grade (Senior)","Yes",5,"pre & post"
"640",212,"HURM","Yes","Yes","post","ssi",16,"c6","Somewhat agree","Competence","6",2025-10-28 10:03:32.425,"12th Grade (Senior)","Yes",4,"pre & post"
"641",223,"HURM","Yes","Yes","pre","likely_become_scientist",NA,NA,"Somewhat likely","likely_become_scientist",NA,2025-10-03 10:18:26.502,"11th Grade (Junior)","No",4,"pre & post"
"642",223,"HURM","Yes","Yes","pre","represented_in_science",NA,NA,"Mostly represented","represented_in_science",NA,2025-10-03 10:18:26.502,"11th Grade (Junior)","No",4,"pre & post"
"643",223,"HURM","Yes","Yes","pre","ssi",1,"p1","Somewhat agree","Peformance","1",2025-10-03 10:18:26.502,"11th Grade (Junior)","No",4,"pre & post"
"644",223,"HURM","Yes","Yes","pre","ssi",2,"c1","Somewhat agree","Competence","1",2025-10-03 10:18:26.502,"11th Grade (Junior)","No",4,"pre & post"
"645",223,"HURM","Yes","Yes","pre","ssi",3,"r1","Somewhat agree","Recognition","1",2025-10-03 10:18:26.502,"11th Grade (Junior)","No",4,"pre & post"
"646",223,"HURM","Yes","Yes","pre","ssi",4,"i1","Somewhat agree","Interest","1",2025-10-03 10:18:26.502,"11th Grade (Junior)","No",4,"pre & post"
"647",223,"HURM","Yes","Yes","pre","ssi",5,"i2","Strongly agree","Interest","2",2025-10-03 10:18:26.502,"11th Grade (Junior)","No",5,"pre & post"
"648",223,"HURM","Yes","Yes","pre","ssi",6,"i3","Somewhat agree","Interest","3",2025-10-03 10:18:26.502,"11th Grade (Junior)","No",4,"pre & post"
"649",223,"HURM","Yes","Yes","pre","ssi",7,"p3","Strongly agree","Peformance","3",2025-10-03 10:18:26.502,"11th Grade (Junior)","No",5,"pre & post"
"650",223,"HURM","Yes","Yes","pre","ssi",8,"r2","Neither agree nor disagree","Recognition","2",2025-10-03 10:18:26.502,"11th Grade (Junior)","No",3,"pre & post"
"651",223,"HURM","Yes","Yes","pre","ssi",9,"c3","Neither agree nor disagree","Competence","3",2025-10-03 10:18:26.502,"11th Grade (Junior)","No",3,"pre & post"
"652",223,"HURM","Yes","Yes","pre","ssi",10,"p4","Neither agree nor disagree","Peformance","4",2025-10-03 10:18:26.502,"11th Grade (Junior)","No",3,"pre & post"
"653",223,"HURM","Yes","Yes","pre","ssi",11,"r3","Somewhat agree","Recognition","3",2025-10-03 10:18:26.502,"11th Grade (Junior)","No",4,"pre & post"
"654",223,"HURM","Yes","Yes","pre","ssi",12,"i5","Strongly agree","Interest","5",2025-10-03 10:18:26.502,"11th Grade (Junior)","No",5,"pre & post"
"655",223,"HURM","Yes","Yes","pre","ssi",13,"r4","Somewhat agree","Recognition","4",2025-10-03 10:18:26.502,"11th Grade (Junior)","No",4,"pre & post"
"656",223,"HURM","Yes","Yes","pre","ssi",14,"i6","Somewhat agree","Interest","6",2025-10-03 10:18:26.502,"11th Grade (Junior)","No",4,"pre & post"
"657",223,"HURM","Yes","Yes","pre","ssi",15,"c5","Somewhat agree","Competence","5",2025-10-03 10:18:26.502,"11th Grade (Junior)","No",4,"pre & post"
"658",223,"HURM","Yes","Yes","pre","ssi",16,"c6","Somewhat agree","Competence","6",2025-10-03 10:18:26.502,"11th Grade (Junior)","No",4,"pre & post"
"659",223,"HURM","Yes","Yes","post","feelings_change_after_sciexpo",NA,NA,"I talked to one person in particular, and he was in a very similar situation as I am when he was my age, so it was helpful to see how his story played out and where he ended up. It made me realize that I would also be able to work in science if I wish.","feelings_change_after_sciexpo",NA,2025-10-28 10:05:37.786,"11th Grade (Junior)","No",NA,"pre & post"
"660",223,"HURM","Yes","Yes","post","likely_become_scientist",NA,NA,"Somewhat likely","likely_become_scientist",NA,2025-10-28 10:05:37.786,"11th Grade (Junior)","No",4,"pre & post"
"661",223,"HURM","Yes","Yes","post","represented_in_science",NA,NA,"Mostly represented","represented_in_science",NA,2025-10-28 10:05:37.786,"11th Grade (Junior)","No",4,"pre & post"
"662",223,"HURM","Yes","Yes","post","sciexpo_most_valuable_aspects",NA,NA,"it was very interesting to be able to talk through specific careers, and see if I could imagine myself working in a similar job","sciexpo_most_valuable_aspects",NA,2025-10-28 10:05:37.786,"11th Grade (Junior)","No",NA,"pre & post"
"663",223,"HURM","Yes","Yes","post","sciexpo_other_comments",NA,NA,"n/a","sciexpo_other_comments",NA,2025-10-28 10:05:37.786,"11th Grade (Junior)","No",NA,"pre & post"
"664",223,"HURM","Yes","Yes","post","sciexpo_what_to_improve",NA,NA,"maybe the teachers got something like this, but it would've been nice to have a schedule of when each career would be in the expo during what periods, so we could think ahead about which ones in particular we wanted to talk to","sciexpo_what_to_improve",NA,2025-10-28 10:05:37.786,"11th Grade (Junior)","No",NA,"pre & post"
"665",223,"HURM","Yes","Yes","post","ssi",1,"p1","Somewhat agree","Peformance","1",2025-10-28 10:05:37.786,"11th Grade (Junior)","No",4,"pre & post"
"666",223,"HURM","Yes","Yes","post","ssi",2,"c1","Somewhat agree","Competence","1",2025-10-28 10:05:37.786,"11th Grade (Junior)","No",4,"pre & post"
"667",223,"HURM","Yes","Yes","post","ssi",3,"r1","Somewhat agree","Recognition","1",2025-10-28 10:05:37.786,"11th Grade (Junior)","No",4,"pre & post"
"668",223,"HURM","Yes","Yes","post","ssi",4,"i1","Somewhat agree","Interest","1",2025-10-28 10:05:37.786,"11th Grade (Junior)","No",4,"pre & post"
"669",223,"HURM","Yes","Yes","post","ssi",5,"i2","Strongly agree","Interest","2",2025-10-28 10:05:37.786,"11th Grade (Junior)","No",5,"pre & post"
"670",223,"HURM","Yes","Yes","post","ssi",6,"i3","Neither agree nor disagree","Interest","3",2025-10-28 10:05:37.786,"11th Grade (Junior)","No",3,"pre & post"
"671",223,"HURM","Yes","Yes","post","ssi",7,"p3","Somewhat agree","Peformance","3",2025-10-28 10:05:37.786,"11th Grade (Junior)","No",4,"pre & post"
"672",223,"HURM","Yes","Yes","post","ssi",8,"r2","Neither agree nor disagree","Recognition","2",2025-10-28 10:05:37.786,"11th Grade (Junior)","No",3,"pre & post"
"673",223,"HURM","Yes","Yes","post","ssi",9,"c3","Neither agree nor disagree","Competence","3",2025-10-28 10:05:37.786,"11th Grade (Junior)","No",3,"pre & post"
"674",223,"HURM","Yes","Yes","post","ssi",10,"p4","Somewhat agree","Peformance","4",2025-10-28 10:05:37.786,"11th Grade (Junior)","No",4,"pre & post"
"675",223,"HURM","Yes","Yes","post","ssi",11,"r3","Somewhat agree","Recognition","3",2025-10-28 10:05:37.786,"11th Grade (Junior)","No",4,"pre & post"
"676",223,"HURM","Yes","Yes","post","ssi",12,"i5","Somewhat agree","Interest","5",2025-10-28 10:05:37.786,"11th Grade (Junior)","No",4,"pre & post"
"677",223,"HURM","Yes","Yes","post","ssi",13,"r4","Somewhat agree","Recognition","4",2025-10-28 10:05:37.786,"11th Grade (Junior)","No",4,"pre & post"
"678",223,"HURM","Yes","Yes","post","ssi",14,"i6","Somewhat agree","Interest","6",2025-10-28 10:05:37.786,"11th Grade (Junior)","No",4,"pre & post"
"679",223,"HURM","Yes","Yes","post","ssi",15,"c5","Somewhat agree","Competence","5",2025-10-28 10:05:37.786,"11th Grade (Junior)","No",4,"pre & post"
"680",223,"HURM","Yes","Yes","post","ssi",16,"c6","Somewhat agree","Competence","6",2025-10-28 10:05:37.786,"11th Grade (Junior)","No",4,"pre & post"
"681",232,"HURM","Yes","Yes","pre","likely_become_scientist",NA,NA,"Somewhat unlikely","likely_become_scientist",NA,2025-10-03 10:17:39.594,"12th Grade (Senior)","Yes",2,"pre & post"
"682",232,"HURM","Yes","Yes","pre","represented_in_science",NA,NA,"A little bit represented","represented_in_science",NA,2025-10-03 10:17:39.594,"12th Grade (Senior)","Yes",2,"pre & post"
"683",232,"HURM","Yes","Yes","pre","ssi",1,"p1","Strongly agree","Peformance","1",2025-10-03 10:17:39.594,"12th Grade (Senior)","Yes",5,"pre & post"
"684",232,"HURM","Yes","Yes","pre","ssi",2,"c1","Strongly agree","Competence","1",2025-10-03 10:17:39.594,"12th Grade (Senior)","Yes",5,"pre & post"
"685",232,"HURM","Yes","Yes","pre","ssi",3,"r1","Neither agree nor disagree","Recognition","1",2025-10-03 10:17:39.594,"12th Grade (Senior)","Yes",3,"pre & post"
"686",232,"HURM","Yes","Yes","pre","ssi",4,"i1","Somewhat agree","Interest","1",2025-10-03 10:17:39.594,"12th Grade (Senior)","Yes",4,"pre & post"
"687",232,"HURM","Yes","Yes","pre","ssi",5,"i2","Somewhat agree","Interest","2",2025-10-03 10:17:39.594,"12th Grade (Senior)","Yes",4,"pre & post"
"688",232,"HURM","Yes","Yes","pre","ssi",6,"i3","Neither agree nor disagree","Interest","3",2025-10-03 10:17:39.594,"12th Grade (Senior)","Yes",3,"pre & post"
"689",232,"HURM","Yes","Yes","pre","ssi",7,"p3","Neither agree nor disagree","Peformance","3",2025-10-03 10:17:39.594,"12th Grade (Senior)","Yes",3,"pre & post"
"690",232,"HURM","Yes","Yes","pre","ssi",8,"r2","Somewhat disagree","Recognition","2",2025-10-03 10:17:39.594,"12th Grade (Senior)","Yes",2,"pre & post"
"691",232,"HURM","Yes","Yes","pre","ssi",9,"c3","Neither agree nor disagree","Competence","3",2025-10-03 10:17:39.594,"12th Grade (Senior)","Yes",3,"pre & post"
"692",232,"HURM","Yes","Yes","pre","ssi",10,"p4","Neither agree nor disagree","Peformance","4",2025-10-03 10:17:39.594,"12th Grade (Senior)","Yes",3,"pre & post"
"693",232,"HURM","Yes","Yes","pre","ssi",11,"r3","Neither agree nor disagree","Recognition","3",2025-10-03 10:17:39.594,"12th Grade (Senior)","Yes",3,"pre & post"
"694",232,"HURM","Yes","Yes","pre","ssi",12,"i5","Somewhat agree","Interest","5",2025-10-03 10:17:39.594,"12th Grade (Senior)","Yes",4,"pre & post"
"695",232,"HURM","Yes","Yes","pre","ssi",13,"r4","Somewhat disagree","Recognition","4",2025-10-03 10:17:39.594,"12th Grade (Senior)","Yes",2,"pre & post"
"696",232,"HURM","Yes","Yes","pre","ssi",14,"i6","Somewhat disagree","Interest","6",2025-10-03 10:17:39.594,"12th Grade (Senior)","Yes",2,"pre & post"
"697",232,"HURM","Yes","Yes","pre","ssi",15,"c5","Strongly agree","Competence","5",2025-10-03 10:17:39.594,"12th Grade (Senior)","Yes",5,"pre & post"
"698",232,"HURM","Yes","Yes","pre","ssi",16,"c6","Somewhat agree","Competence","6",2025-10-03 10:17:39.594,"12th Grade (Senior)","Yes",4,"pre & post"
"699",232,"HURM","Yes","Yes","post","feelings_change_after_sciexpo",NA,NA,"Did Not influence my feelings.","feelings_change_after_sciexpo",NA,2025-10-28 10:05:30.624,"12th Grade (Senior)","Yes",NA,"pre & post"
"700",232,"HURM","Yes","Yes","post","likely_become_scientist",NA,NA,"Somewhat unlikely","likely_become_scientist",NA,2025-10-28 10:05:30.624,"12th Grade (Senior)","Yes",2,"pre & post"
"701",232,"HURM","Yes","Yes","post","represented_in_science",NA,NA,"A little bit represented","represented_in_science",NA,2025-10-28 10:05:30.624,"12th Grade (Senior)","Yes",2,"pre & post"
"702",232,"HURM","Yes","Yes","post","sciexpo_most_valuable_aspects",NA,NA,"learning about all the stands.","sciexpo_most_valuable_aspects",NA,2025-10-28 10:05:30.624,"12th Grade (Senior)","Yes",NA,"pre & post"
"703",232,"HURM","Yes","Yes","post","sciexpo_other_comments",NA,NA,NA,"sciexpo_other_comments",NA,2025-10-28 10:05:30.624,"12th Grade (Senior)","Yes",NA,"pre & post"
"704",232,"HURM","Yes","Yes","post","sciexpo_what_to_improve",NA,NA,"more interactive science stands.","sciexpo_what_to_improve",NA,2025-10-28 10:05:30.624,"12th Grade (Senior)","Yes",NA,"pre & post"
"705",232,"HURM","Yes","Yes","post","ssi",1,"p1","Somewhat agree","Peformance","1",2025-10-28 10:05:30.624,"12th Grade (Senior)","Yes",4,"pre & post"
"706",232,"HURM","Yes","Yes","post","ssi",2,"c1","Somewhat agree","Competence","1",2025-10-28 10:05:30.624,"12th Grade (Senior)","Yes",4,"pre & post"
"707",232,"HURM","Yes","Yes","post","ssi",3,"r1","Neither agree nor disagree","Recognition","1",2025-10-28 10:05:30.624,"12th Grade (Senior)","Yes",3,"pre & post"
"708",232,"HURM","Yes","Yes","post","ssi",4,"i1","Somewhat agree","Interest","1",2025-10-28 10:05:30.624,"12th Grade (Senior)","Yes",4,"pre & post"
"709",232,"HURM","Yes","Yes","post","ssi",5,"i2","Somewhat agree","Interest","2",2025-10-28 10:05:30.624,"12th Grade (Senior)","Yes",4,"pre & post"
"710",232,"HURM","Yes","Yes","post","ssi",6,"i3","Somewhat agree","Interest","3",2025-10-28 10:05:30.624,"12th Grade (Senior)","Yes",4,"pre & post"
"711",232,"HURM","Yes","Yes","post","ssi",7,"p3","Neither agree nor disagree","Peformance","3",2025-10-28 10:05:30.624,"12th Grade (Senior)","Yes",3,"pre & post"
"712",232,"HURM","Yes","Yes","post","ssi",8,"r2","Neither agree nor disagree","Recognition","2",2025-10-28 10:05:30.624,"12th Grade (Senior)","Yes",3,"pre & post"
"713",232,"HURM","Yes","Yes","post","ssi",9,"c3","Somewhat agree","Competence","3",2025-10-28 10:05:30.624,"12th Grade (Senior)","Yes",4,"pre & post"
"714",232,"HURM","Yes","Yes","post","ssi",10,"p4","Neither agree nor disagree","Peformance","4",2025-10-28 10:05:30.624,"12th Grade (Senior)","Yes",3,"pre & post"
"715",232,"HURM","Yes","Yes","post","ssi",11,"r3","Neither agree nor disagree","Recognition","3",2025-10-28 10:05:30.624,"12th Grade (Senior)","Yes",3,"pre & post"
